media;desviacion;humedad;temperatura;suelohumedad;fechahora
30,79999924;16,27000046;67;22;7;9/08/2020 6:51
34,79999924;16,30999947;66;23;11;9/08/2020 6:56
33;16,40999985;67;23;9;9/08/2020 7:01
34,79999924;15,59000015;67;22;13;9/08/2020 7:06
34,20000076;16,32999992;67;23;11;9/08/2020 7:11
27,79999924;18;69;23;0;9/08/2020 7:16
31,79999924;16,18000031;68;22;9;9/08/2020 7:21
27,60000038;16,56999969;66;23;3;9/08/2020 7:26
34,59999847;16,22999954;67;23;11;9/08/2020 7:31
34,59999847;16,22999954;66;23;11;9/08/2020 7:36
34;23,60000038;66;23;33;9/08/2020 7:41
35,20000076;22,09000015;65;23;41;9/08/2020 7:46
34;20,88999939;66;24;36;9/08/2020 7:51
34,59999847;20,78000069;67;24;36;9/08/2020 7:56
35;20,80999947;68;24;36;9/08/2020 8:01
35;20,86000061;68;24;34;9/08/2020 8:06
34,59999847;20,68000031;67;24;32;9/08/2020 8:11
35;20,45999908;66;24;33;9/08/2020 8:16
34,79999924;20,29000092;66;24;33;9/08/2020 8:21
36,20000076;20,73999977;62;25;37;9/08/2020 8:26
55;22,10000038;60;25;37;9/08/2020 8:31
54,79999924;22,42000008;60;25;35;9/08/2020 8:36
57;20,86000061;62;25;42;9/08/2020 8:41
55,79999924;22,31999969;62;25;36;9/08/2020 8:46
58,79999924;23,59000015;62;25;37;9/08/2020 8:51
56,20000076;21,70999908;60;25;37;9/08/2020 8:56
59,40000153;23,79999924;61;26;35;9/08/2020 9:01
58,20000076;22,80999947;62;26;35;9/08/2020 9:06
57,20000076;21,94000053;61;26;38;9/08/2020 9:11
57;23,55999947;63;26;32;9/08/2020 9:16
56,79999924;21,95000076;59;25;36;9/08/2020 9:21
60;23,52000046;58;26;36;9/08/2020 9:26
57,79999924;22,20999908;58;26;36;9/08/2020 9:31
58,40000153;23,10000038;59;26;34;9/08/2020 9:36
57,20000076;22,27000046;59;26;36;9/08/2020 9:41
56,40000153;23,04000092;59;27;31;9/08/2020 9:46
56,40000153;22,53000069;59;27;33;9/08/2020 9:51
57,20000076;22,65999985;58;27;34;9/08/2020 9:56
57,20000076;23;59;27;32;9/08/2020 10:01
57;22,04999924;58;27;34;9/08/2020 10:06
59;22,79000092;58;27;35;9/08/2020 10:11
62;25,04000092;56;27;34;9/08/2020 10:16
63;25,44000053;56;27;36;9/08/2020 10:21
64,19999695;28,05999947;58;27;32;9/08/2020 10:26
57,20000076;22,53000069;56;27;34;9/08/2020 10:31
58,40000153;20,14999962;58;27;45;9/08/2020 10:36
56,40000153;23,57999992;55;27;30;9/08/2020 10:41
